2026-05-22 12:12:42 | INFO | __main__ | Prior γ: min=-12.544 max=8.704 mean=-0.000
2026-05-22 12:12:42 | INFO | __main__ | Inserting 39 ratings for 2022-23 Playoffs
2026-05-22 12:12:43 | INFO | __main__ | Pooled RAPM top 5:      [(201950, 0.491), (1627759, 0.4902), (1628971, 0.4466), (1629216, 0.4273), (201143, 0.3897)]
2026-05-22 12:12:43 | INFO | __main__ | RAPM+prior   top 5:     [(201950, 1.4186), (203954, 1.3997), (201143, 1.399), (1629216, 1.3959), (1626172, 1.3364)]
2026-05-22 12:12:43 | INFO | __main__ | Loaded 86,034 pooled stints (['2021-22', '2022-23', '2023-24']) Regular Season
2026-05-22 12:12:43 | INFO | __main__ | Player pool: 802 players
2026-05-22 12:12:44 | INFO | __main__ | Matrix: (86034, 802), 860,340 nonzero entries
2026-05-22 12:12:44 | INFO | __main__ | Prior γ: min=-14.423 max=14.134 mean=0.000
2026-05-22 12:12:45 | INFO | __main__ | Inserting 466 ratings for 2023-24 Regular Season
2026-05-22 12:12:45 | INFO | __main__ | Pooled RAPM top 5:      [(1628369, 3.0112), (201950, 2.3556), (203932, 2.0201), (203954, 1.9377), (1626164, 1.7935)]
2026-05-22 12:12:45 | INFO | __main__ | RAPM+prior   top 5:     [(1628369, 3.7299), (201950, 3.301), (203932, 3.0731), (203954, 2.9384), (203999, 2.9258)]
2026-05-22 12:12:45 | INFO | __main__ | Loaded 5,946 pooled stints (['2021-22', '2022-23', '2023-24']) Playoffs
2026-05-22 12:12:45 | INFO | __main__ | Player pool: 377 players
2026-05-22 12:12:45 | INFO | __main__ | Matrix: (5946, 377), 59,460 nonzero entries
2026-05-22 12:12:45 | INFO | __main__ | Prior γ: min=-15.761 max=10.862 mean=-0.000
2026-05-22 12:12:45 | INFO | __main__ | Inserting 30 ratings for 2023-24 Playoffs
2026-05-22 12:12:45 | INFO | __main__ | Pooled RAPM top 5:      [(201143, 0.6764), (1627759, 0.5627), (201950, 0.4992), (1628369, 0.4899), (1627750, 0.3915)]
2026-05-22 12:12:45 | INFO | __main__ | RAPM+prior   top 5:     [(201143, 1.5813), (201950, 1.3421), (1627750, 1.2893), (1629008, 1.2718), (1626172, 1.2616)]
2026-05-22 12:12:45 | INFO | __main__ | Loaded 86,341 pooled stints (['2022-23', '2023-24', '2024-25']) Regular Season
2026-05-22 12:12:45 | INFO | __main__ | Player pool: 758 players
2026-05-22 12:12:46 | INFO | __main__ | Matrix: (86341, 758), 863,410 nonzero entries
2026-05-22 12:12:46 | INFO | __main__ | Prior γ: min=-12.603 max=8.847 mean=-0.000
2026-05-22 12:12:47 | INFO | __main__ | Inserting 471 ratings for 2024-25 Regular Season
2026-05-22 12:12:47 | INFO | __main__ | Pooled RAPM top 5:      [(1628369, 2.231), (203932, 2.0143), (1628983, 1.9656), (1630198, 1.9306), (1630202, 1.8202)]
2026-05-22 12:12:47 | INFO | __main__ | RAPM+prior   top 5:     [(203932, 2.9937), (203999, 2.9193), (1630198, 2.7025), (1628369, 2.5345), (1628983, 2.3868)]
2026-05-22 12:12:47 | INFO | __main__ | Loaded 5,955 pooled stints (['2022-23', '2023-24', '2024-25']) Playoffs
2026-05-22 12:12:47 | INFO | __main__ | Player pool: 372 players
2026-05-22 12:12:47 | INFO | __main__ | Matrix: (5955, 372), 59,550 nonzero entries
2026-05-22 12:12:47 | INFO | __main__ | Prior γ: min=-17.097 max=10.402 mean=0.000
