2026-05-22 14:42:58 | INFO | __main__ | Inserting 374 ratings for 2020-21 Regular Season
2026-05-22 14:42:59 | INFO | __main__ | RAPM  top 5: [(203497, 1.4991), (202695, 1.249), (204060, 1.1488), (203114, 1.0046), (201144, 0.9797)]
2026-05-22 14:42:59 | INFO | __main__ | O-RAPM top5: [(1629008, 1.6416), (1628969, 1.6281), (202695, 1.5374), (202681, 1.4086), (1626164, 1.3963)]
2026-05-22 14:42:59 | INFO | __main__ | D-RAPM top5: [(203497, 1.6858), (201144, 1.4759), (1627936, 1.0048), (1629308, 0.9727), (204060, 0.8958)]
2026-05-22 14:42:59 | INFO | __main__ | Loaded 2,040 stints for 2020-21 Playoffs
2026-05-22 14:42:59 | INFO | __main__ | Player pool: 223 players
2026-05-22 14:42:59 | INFO | __main__ | Net matrix: (2040, 223), 20,400 nonzero entries
2026-05-22 14:42:59 | INFO | __main__ | O/D matrix: (4080, 223), 20,400 nonzero entries
2026-05-22 14:42:59 | INFO | __main__ | Inserting 22 ratings for 2020-21 Playoffs
2026-05-22 14:42:59 | INFO | __main__ | RAPM  top 5: [(201950, 0.4122), (1626164, 0.3482), (1629028, 0.3208), (201572, 0.3099), (201587, 0.3029)]
2026-05-22 14:42:59 | INFO | __main__ | O-RAPM top5: [(202704, 0.6781), (201587, 0.5928), (202331, 0.5294), (1628969, 0.458), (1629028, 0.3655)]
2026-05-22 14:42:59 | INFO | __main__ | D-RAPM top5: [(1626164, 0.7346), (201572, 0.6882), (203109, 0.5985), (201950, 0.5947), (201142, 0.5511)]
2026-05-22 14:42:59 | INFO | __main__ | Loaded 28,879 stints for 2021-22 Regular Season
2026-05-22 14:42:59 | INFO | __main__ | Player pool: 589 players
2026-05-22 14:42:59 | INFO | __main__ | Net matrix: (28879, 589), 288,790 nonzero entries
2026-05-22 14:42:59 | INFO | __main__ | O/D matrix: (57758, 589), 288,790 nonzero entries
2026-05-22 14:43:00 | INFO | __main__ | Inserting 394 ratings for 2021-22 Regular Season
2026-05-22 14:43:00 | INFO | __main__ | RAPM  top 5: [(1628369, 1.6318), (201950, 1.2177), (201143, 1.0562), (1628969, 0.9277), (1626145, 0.9028)]
2026-05-22 14:43:00 | INFO | __main__ | O-RAPM top5: [(201950, 1.6894), (1629027, 1.4172), (1629028, 1.4163), (203954, 1.3911), (1626164, 1.379)]
2026-05-22 14:43:00 | INFO | __main__ | D-RAPM top5: [(1628369, 1.7265), (201939, 1.3405), (201143, 1.1135), (1629057, 1.0998), (1629026, 1.0851)]
2026-05-22 14:43:00 | INFO | __main__ | Loaded 2,078 stints for 2021-22 Playoffs
2026-05-22 14:43:00 | INFO | __main__ | Player pool: 205 players
2026-05-22 14:43:00 | INFO | __main__ | Net matrix: (2078, 205), 20,780 nonzero entries
2026-05-22 14:43:00 | INFO | __main__ | O/D matrix: (4156, 205), 20,780 nonzero entries
2026-05-22 14:43:00 | INFO | __main__ | Inserting 21 ratings for 2021-22 Playoffs
2026-05-22 14:43:00 | INFO | __main__ | RAPM  top 5: [(1627759, 0.3545), (1629216, 0.3207), (1629673, 0.2954), (203935, 0.2665), (201143, 0.2583)]
2026-05-22 14:43:00 | INFO | __main__ | O-RAPM top5: [(1628467, 0.4542), (1627827, 0.367), (1628969, 0.2844), (1629673, 0.2691), (201939, 0.2633)]
2026-05-22 14:43:00 | INFO | __main__ | D-RAPM top5: [(1629673, 0.5063), (203935, 0.4834), (1629684, 0.4755), (201143, 0.4454), (201939, 0.435)]
2026-05-22 14:43:00 | INFO | __main__ | Loaded 28,783 stints for 2022-23 Regular Season
2026-05-22 14:43:00 | INFO | __main__ | Player pool: 531 players
2026-05-22 14:43:00 | INFO | __main__ | Net matrix: (28783, 531), 287,830 nonzero entries
2026-05-22 14:43:00 | INFO | __main__ | O/D matrix: (57566, 531), 287,830 nonzero entries
2026-05-22 14:43:01 | INFO | __main__ | Inserting 379 ratings for 2022-23 Regular Season
2026-05-22 14:43:01 | INFO | __main__ | RAPM  top 5: [(203932, 1.1555), (201950, 1.1509), (1628369, 1.1087), (1628401, 0.9754), (203954, 0.964)]
2026-05-22 14:43:01 | INFO | __main__ | O-RAPM top5: [(1628369, 1.6116), (1629008, 1.4373), (203932, 1.3735), (201950, 1.3044), (1629029, 1.302)]
2026-05-22 14:43:01 | INFO | __main__ | D-RAPM top5: [(1630193, 1.4563), (1630217, 0.9892), (201942, 0.9839), (1628372, 0.9639), (1628975, 0.9425)]
2026-05-22 14:43:01 | INFO | __main__ | Loaded 1,943 stints for 2022-23 Playoffs
2026-05-22 14:43:01 | INFO | __main__ | Player pool: 203 players
2026-05-22 14:43:01 | INFO | __main__ | Net matrix: (1943, 203), 19,430 nonzero entries
2026-05-22 14:43:01 | INFO | __main__ | O/D matrix: (3886, 203), 19,430 nonzero entries
2026-05-22 14:43:01 | INFO | __main__ | Inserting 29 ratings for 2022-23 Playoffs
2026-05-22 14:43:01 | INFO | __main__ | RAPM  top 5: [(1627750, 0.4539), (1629008, 0.4417), (203932, 0.3062), (1628971, 0.2847), (203484, 0.2518)]
2026-05-22 14:43:01 | INFO | __main__ | O-RAPM top5: [(1627750, 0.6158), (203484, 0.5474), (1628971, 0.5044), (201145, 0.4703), (201142, 0.4582)]
2026-05-22 14:43:01 | INFO | __main__ | D-RAPM top5: [(2544, 0.5218), (1629008, 0.4798), (1630559, 0.3583), (1629622, 0.2352), (1629020, 0.2332)]
2026-05-22 14:43:01 | INFO | __main__ | Loaded 28,372 stints for 2023-24 Regular Season
2026-05-22 14:43:01 | INFO | __main__ | Player pool: 562 players
2026-05-22 14:43:01 | INFO | __main__ | Net matrix: (28372, 562), 283,720 nonzero entries
2026-05-22 14:43:02 | INFO | __main__ | O/D matrix: (56744, 562), 283,720 nonzero entries
2026-05-22 14:43:02 | INFO | __main__ | Inserting 379 ratings for 2023-24 Regular Season
2026-05-22 14:43:02 | INFO | __main__ | RAPM  top 5: [(1628369, 1.5009), (1630202, 1.3043), (1628983, 1.2557), (203081, 1.0635), (203484, 1.0024)]
2026-05-22 14:43:02 | INFO | __main__ | O-RAPM top5: [(203081, 1.9246), (1628369, 1.6154), (1630202, 1.5009), (1628983, 1.4859), (203957, 1.3949)]
2026-05-22 14:43:02 | INFO | __main__ | D-RAPM top5: [(1629675, 1.371), (1641717, 1.1803), (1628983, 1.1636), (1628371, 1.1526), (1629656, 1.0567)]
2026-05-22 14:43:02 | INFO | __main__ | Loaded 1,925 stints for 2023-24 Playoffs
2026-05-22 14:43:02 | INFO | __main__ | Player pool: 201 players
2026-05-22 14:43:02 | INFO | __main__ | Net matrix: (1925, 201), 19,250 nonzero entries
2026-05-22 14:43:02 | INFO | __main__ | O/D matrix: (3850, 201), 19,250 nonzero entries
2026-05-22 14:43:02 | INFO | __main__ | Inserting 21 ratings for 2023-24 Playoffs
